	x0	x1	x2	x3	x4
0	4.946898e+01	5.115703e+10	1.332855e-05	4.773009e+02	2.571496e-04
1	4.483733e+00	1.576974e+10	1.955730e-02	7.882100e+03	2.142467e-05
2	4.989046e+01	2.479885e+10	1.877680e-05	3.212502e+02	1.806497e-04
3	4.972342e+00	7.663519e+09	1.774850e-02	4.743318e+03	1.606997e-05
4	5.121336e+01	1.789106e+10	2.972394e-05	2.674262e+02	1.506689e-04
5	4.382946e+00	3.862848e+09	2.830338e-02	3.642464e+03	1.081874e-05
6	8.245810e+01	1.041492e+09	2.379449e-05	6.263476e+01	9.358477e-05
7	7.263684e+00	2.187838e+08	3.809274e-02	9.046582e+02	7.239967e-06
8	5.409805e+01	4.410952e+10	1.263834e-05	4.468272e+02	2.654369e-04
9	4.919905e+00	1.331061e+10	2.362180e-02	7.601751e+03	2.268540e-05
10	5.350747e+01	1.919901e+10	1.825343e-05	2.857663e+02	1.785920e-04
11	5.107550e+00	5.750961e+09	1.985780e-02	4.282138e+03	1.533466e-05
12	5.601050e+01	1.222637e+10	2.633115e-05	2.194508e+02	1.463481e-04
13	5.030193e+00	2.945667e+09	2.486842e-02	3.008093e+03	1.127067e-05
14	5.490801e+01	4.093046e+10	9.867132e-06	4.118422e+02	2.523404e-04
15	5.081479e+00	1.147026e+10	2.264247e-02	7.055837e+03	2.205175e-05
16	8.513540e+01	1.101534e+09	2.194708e-05	6.434765e+01	9.645570e-05
17	7.546805e+00	2.578444e+08	3.627592e-02	9.298447e+02	7.750605e-06
18	5.733042e+01	3.869503e+10	9.177635e-06	4.005025e+02	2.539701e-04
19	5.439299e+00	1.108612e+10	2.305971e-02	6.969900e+03	2.308298e-05
20	5.744973e+01	1.481343e+10	1.509384e-05	2.463216e+02	1.735652e-04
21	5.383204e+00	4.637365e+09	1.899094e-02	3.757475e+03	1.498963e-05
22	5.935676e+01	8.689822e+09	2.326565e-05	1.838247e+02	1.391241e-04
23	5.485160e+00	2.299983e+09	2.227397e-02	2.548951e+03	1.124442e-05
24	5.642618e+01	3.409869e+10	8.928467e-06	3.803278e+02	2.381532e-04
25	5.480242e+00	1.032760e+10	2.162599e-02	6.692614e+03	2.228832e-05
26	8.644995e+01	1.117847e+09	1.865723e-05	6.374073e+01	9.550141e-05
27	7.875115e+00	2.788431e+08	3.359221e-02	9.175599e+02	8.094277e-06
28	5.938379e+01	1.413480e+10	1.399944e-05	2.395908e+02	1.730872e-04
29	5.536781e+00	4.291819e+09	2.016480e-02	3.696907e+03	1.499771e-05
30	6.466641e+01	6.651986e+09	2.137047e-05	1.615429e+02	1.383832e-04
31	5.701472e+00	1.802401e+09	2.378619e-02	2.272973e+03	1.091263e-05
32	5.890543e+01	3.332673e+10	8.688600e-06	3.824830e+02	2.431869e-04
33	5.899436e+00	1.166225e+10	2.043468e-02	6.940894e+03	2.410080e-05
34	8.845014e+01	1.123831e+09	1.837474e-05	6.475172e+01	9.642710e-05
35	7.626258e+00	2.866472e+08	3.335486e-02	9.256409e+02	7.806280e-06
36	6.189791e+01	1.351681e+10	1.157631e-05	2.273468e+02	1.721156e-04
37	5.699469e+00	3.902614e+09	2.046546e-02	3.556368e+03	1.489141e-05
38	6.613087e+01	5.266561e+09	1.932292e-05	1.428394e+02	1.301624e-04
39	6.405087e+00	1.419826e+09	2.293433e-02	2.016785e+03	1.132475e-05
40	5.614278e+01	3.297155e+10	9.322451e-06	3.989605e+02	2.293489e-04
41	6.063383e+00	1.353687e+10	1.982471e-02	7.477602e+03	2.500123e-05
42	9.195584e+01	1.121956e+09	1.505981e-05	6.283862e+01	9.713133e-05
43	7.926167e+00	3.050001e+08	3.017773e-02	9.092128e+02	8.055303e-06
44	5.496679e+01	3.037024e+10	1.045676e-05	3.994899e+02	2.221787e-04
45	5.966673e+00	1.420391e+10	1.889516e-02	7.586912e+03	2.455971e-05
46	6.097965e+01	1.162934e+10	1.163558e-05	2.158100e+02	1.611536e-04
47	6.133191e+00	3.711019e+09	1.896303e-02	3.401705e+03	1.541562e-05
48	7.033490e+01	4.829980e+09	1.547512e-05	1.321629e+02	1.304001e-04
49	6.466986e+00	1.249540e+09	2.335123e-02	1.893308e+03	1.095974e-05
50	8.828774e+01	1.174616e+09	1.487658e-05	6.529959e+01	9.293594e-05
51	8.234832e+00	3.395593e+08	2.891729e-02	9.405460e+02	8.447343e-06
52	6.310525e+01	1.143295e+10	1.101967e-05	2.144551e+02	1.629535e-04
53	6.147202e+00	3.739083e+09	1.881623e-02	3.426070e+03	1.525145e-05
54	7.109795e+01	4.472081e+09	1.342767e-05	1.252745e+02	1.256454e-04
55	6.885693e+00	1.151579e+09	2.395358e-02	1.823258e+03	1.132392e-05
56	8.566237e+01	1.163116e+09	1.486784e-05	6.551396e+01	8.949089e-05
57	8.701436e+00	3.571607e+08	2.736419e-02	9.445959e+02	8.923552e-06
